state_fk,market_fk,time_fk,p10,p50,p90
TX,Dallas / Houston,2024-09-09,3192.4319105125965,6583.672868255904,11229.491569703048
TX,Dallas / Houston,2024-09-10,1554.529367175456,4005.6965206411533,8589.394953635905
TX,Dallas / Houston,2024-09-11,1136.7086234277838,3725.0340167783693,8924.54745420896
TX,Dallas / Houston,2024-09-12,1206.5352581439026,3337.772574162068,8911.867204113898
TX,Dallas / Houston,2024-09-13,1767.12248690574,4060.4314952145933,9337.808119447685
TX,Dallas / Houston,2024-09-14,10497.803283791362,11781.304737834176,16378.014000634366
TX,Dallas / Houston,2024-09-15,2393.4991907944436,4333.223702681812,9755.234548896591
TX,Dallas / Houston,2024-09-16,2091.765178712375,4224.076518990185,8331.071987083287
TX,Dallas / Houston,2024-09-17,2090.590161650354,3625.9661354301993,8408.710599434371
TX,Dallas / Houston,2024-09-18,6512.694250186328,8766.12513699131,13128.649055776566
TX,Dallas / Houston,2024-09-19,3173.2372248118745,5489.715486087672,9379.70903449143
TX,Dallas / Houston,2024-09-20,5886.071780128349,8773.502248535497,11711.959275761039
TX,Dallas / Houston,2024-09-21,7816.675767851012,11457.462275197144,14189.49638137992
TX,Dallas / Houston,2024-09-22,3098.6645767961636,5810.978921119041,10080.356215499505
TX,Dallas / Houston,2024-09-23,6373.800390904559,9311.505197543978,14037.770486576073
TX,Dallas / Houston,2024-09-24,3100.268597623623,5494.7754450154125,9420.991222973793
TX,Dallas / Houston,2024-09-25,2973.092389931036,4846.08249004,8584.666848960931
TX,Dallas / Houston,2024-09-26,4464.999554932582,6983.968629062101,11720.321698947197
TX,Dallas / Houston,2024-09-27,2087.705223969812,4728.996575126002,8788.594856449354
TX,Dallas / Houston,2024-09-28,4968.190604695096,7162.049465892473,12124.02641648206
TX,Dallas / Houston,2024-09-29,5610.826438067444,6640.613474148034,11464.690519373202
TX,Dallas / Houston,2024-09-30,4883.572837903934,7471.801259537137,12291.592232496443
TX,Dallas / Houston,2024-10-01,14440.814535565903,17094.941737416917,18721.432144357113
TX,Dallas / Houston,2024-10-02,4364.9542946398005,6841.45122200884,11394.296428840575
TX,Dallas / Houston,2024-10-03,4297.122098361497,6558.161051002655,11079.308090501305
TX,Dallas / Houston,2024-10-04,10851.009247452706,13158.138318822725,14405.57314133506
TX,Dallas / Houston,2024-10-05,3055.015533240555,5117.149009850999,8486.832520590226
TX,Dallas / Houston,2024-10-06,5976.017991363444,8797.917411165796,11091.729595669172
TX,Dallas / Houston,2024-10-07,5734.50315609254,7706.719986935667,14437.720678575937
TX,Dallas / Houston,2024-10-08,2679.7125474044406,4930.911150627213,9130.415538603713
TX,Dallas / Houston,2024-10-09,5615.572679102415,8308.371389677288,11795.775955041054
TX,Dallas / Houston,2024-10-10,4452.820218381582,7126.097879604962,11350.026669954723
TX,Dallas / Houston,2024-10-11,9431.798656971117,11819.285229392259,15319.419231924927
TX,Dallas / Houston,2024-10-12,1681.4091518569167,4466.460315737323,9013.898711945138
TX,Dallas / Houston,2024-10-13,4863.503484404466,7927.233784705794,11936.495778067745
TX,Dallas / Houston,2024-10-14,4126.627004395592,6603.174731846119,10936.29953861967
